2026-03-27 10:41:23.950 [http-nio-8080-exec-6] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:41:24.970 [http-nio-8080-exec-9] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:41:28.669 [http-nio-8080-exec-1] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:41:29.384 [http-nio-8080-exec-4] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:41:32.522 [http-nio-8080-exec-3] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:41:54.037 [http-nio-8080-exec-5] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:42:37.883 [http-nio-8080-exec-7] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:42:50.630 [http-nio-8080-exec-6] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:42:51.302 [http-nio-8080-exec-8] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:42:52.155 [http-nio-8080-exec-9] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:42:53.217 [http-nio-8080-exec-2] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:42:55.704 [http-nio-8080-exec-1] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
2026-03-27 10:42:56.544 [http-nio-8080-exec-4] INFO  com.hms.security.jwt.JwtAuthenticationFilter - Request authorized for user: farm with authorities: [ROLE_PHARMACIST]
